# Fe I 5000.172 Å line profiles with different damping
# Wavelength(Å), Opacity_weak(cm⁻¹), Opacity_normal(cm⁻¹), Opacity_strong(cm⁻¹)
5000.732, 2.8829066825753063e-10, 9.6308999907947e-10, 2.8829066825753062e-8
5000.742, 2.782650512305277e-10, 9.295975119599008e-10, 2.7826505123052767e-8
5000.752, 2.68753497992114e-10, 8.978223530378468e-10, 2.68753497992114e-8
5000.762, 2.5972145448273933e-10, 8.676490878825598e-10, 2.5972145448273932e-8
5000.772, 2.51137221907911e-10, 8.389718206211577e-10, 2.5113722190791097e-8
5000.782, 2.4297167822890997e-10, 8.116932635252083e-10, 2.4297167822890996e-8
5000.792, 2.351980308315101e-10, 7.8572391075338e-10, 2.3519803083151012e-8
5000.802, 2.277915964610882e-10, 7.60981303182677e-10, 2.277915964610882e-8
5000.812, 2.2072960502857637e-10, 7.373893729847789e-10, 2.207296050285764e-8
5000.822, 2.1399102438988633e-10, 7.148778582682653e-10, 2.139910243898863e-8
5000.832, 2.0755640355939444e-10, 6.933817793033394e-10, 2.0755640355939446e-8
5000.842, 2.014077321833893e-10, 6.728409690660587e-10, 2.014077321833893e-8
5000.852, 1.9552831436879782e-10, 6.531996517391154e-10, 1.9552831436879784e-8
5000.862, 1.899026552237907e-10, 6.34406063679073e-10, 1.8990265522379067e-8
5000.872, 1.8451635865445833e-10, 6.16412111986658e-10, 1.8451635865445834e-8
5000.882, 1.793560351720254e-10, 5.99173066519163e-10, 1.793560351720254e-8
5000.892, 1.7440921859625704e-10, 5.826472816222784e-10, 1.7440921859625705e-8
5000.902, 1.6966429069419524e-10, 5.667959443714083e-10, 1.6966429069419524e-8
5000.912, 1.6511041289712723e-10, 5.515828464591706e-10, 1.6511041289712722e-8
5000.922, 1.6073746434645975e-10, 5.369741772258163e-10, 1.6073746434645978e-8
5000.932, 1.5653598560917226e-10, 5.229383356299588e-10, 1.5653598560917228e-8
5000.942, 1.5249712747747734e-10, 5.094457592040668e-10, 1.5249712747747734e-8
5000.952, 1.4861260433237833e-10, 4.96468768256529e-10, 1.4861260433237831e-8
5000.962, 1.4487465161186471e-10, 4.839814237860426e-10, 1.4487465161186472e-8
5000.972, 0.0, 0.0, 0.0
5000.982, 0.0, 0.0, 0.0
5000.992, 0.0, 0.0, 0.0
5001.002, 0.0, 0.0, 0.0
5001.012, 0.0, 0.0, 0.0
5001.022, 0.0, 0.0, 0.0
5001.032, 0.0, 0.0, 0.0
5001.042, 0.0, 0.0, 0.0
5001.052, 0.0, 0.0, 0.0
5001.062, 0.0, 0.0, 0.0
5001.072, 0.0, 0.0, 0.0
5001.082, 0.0, 0.0, 0.0
5001.092, 0.0, 0.0, 0.0
5001.102, 0.0, 0.0, 0.0
5001.112, 0.0, 0.0, 0.0
5001.122, 0.0, 0.0, 0.0
5001.132, 0.0, 0.0, 0.0
5001.142, 0.0, 0.0, 0.0
5001.152, 0.0, 0.0, 0.0
5001.162, 0.0, 0.0, 0.0
5001.172, 0.0, 0.0, 0.0
5001.182, 0.0, 0.0, 0.0
5001.192, 0.0, 0.0, 0.0
5001.202, 0.0, 0.0, 0.0
5001.212, 0.0, 0.0, 0.0
5001.222, 0.0, 0.0, 0.0
5001.232, 0.0, 0.0, 0.0
5001.242, 0.0, 0.0, 0.0
5001.252, 0.0, 0.0, 0.0
5001.262, 0.0, 0.0, 0.0
5001.272, 0.0, 0.0, 0.0
5001.282, 0.0, 0.0, 0.0
5001.292, 0.0, 0.0, 0.0
5001.302, 0.0, 0.0, 0.0
5001.312, 0.0, 0.0, 0.0
5001.322, 0.0, 0.0, 0.0
5001.332, 0.0, 0.0, 0.0
5001.342, 0.0, 0.0, 0.0
5001.352, 0.0, 0.0, 0.0
5001.362, 0.0, 0.0, 0.0
5001.372, 0.0, 0.0, 0.0
5001.382, 0.0, 0.0, 0.0
5001.392, 0.0, 0.0, 0.0
5001.402, 0.0, 0.0, 0.0
5001.412, 0.0, 0.0, 0.0
5001.422, 0.0, 0.0, 0.0
5001.432, 0.0, 0.0, 0.0
5001.442, 0.0, 0.0, 0.0
5001.452, 0.0, 0.0, 0.0
5001.462, 0.0, 0.0, 0.0
5001.472, 0.0, 0.0, 0.0
5001.482, 0.0, 0.0, 0.0
5001.492, 0.0, 0.0, 0.0
5001.502, 0.0, 0.0, 0.0
5001.512, 0.0, 0.0, 0.0
5001.522, 0.0, 0.0, 0.0
5001.532, 0.0, 0.0, 0.0
5001.542, 0.0, 0.0, 0.0
5001.552, 0.0, 0.0, 0.0
5001.562, 0.0, 0.0, 0.0
5001.572, 0.0, 0.0, 0.0
5001.582, 0.0, 0.0, 0.0
5001.592, 0.0, 0.0, 0.0
5001.602, 0.0, 0.0, 0.0
5001.612, 0.0, 0.0, 0.0
5001.622, 0.0, 0.0, 0.0
5001.632, 0.0, 0.0, 0.0
5001.642, 0.0, 0.0, 0.0
5001.652, 0.0, 0.0, 0.0
5001.662, 0.0, 0.0, 0.0
5001.672, 0.0, 0.0, 0.0
5001.682, 0.0, 0.0, 0.0
5001.692, 0.0, 0.0, 0.0
5001.702, 0.0, 0.0, 0.0
5001.712, 0.0, 0.0, 0.0
5001.722, 0.0, 0.0, 0.0
5001.732, 0.0, 0.0, 0.0
5001.742, 0.0, 0.0, 0.0
5001.752, 0.0, 0.0, 0.0
5001.762, 0.0, 0.0, 0.0
5001.772, 0.0, 0.0, 0.0
5001.782, 0.0, 0.0, 0.0
5001.792, 0.0, 0.0, 0.0
5001.802, 0.0, 0.0, 0.0
5001.812, 0.0, 0.0, 0.0
5001.822, 0.0, 0.0, 0.0
5001.832, 0.0, 0.0, 0.0
5001.842, 0.0, 0.0, 0.0
5001.852, 0.0, 0.0, 0.0
5001.862, 0.0, 0.0, 0.0
5001.872, 0.0, 0.0, 0.0
5001.882, 0.0, 0.0, 0.0
5001.892, 0.0, 0.0, 0.0
5001.902, 0.0, 0.0, 0.0
5001.912, 0.0, 0.0, 0.0
5001.922, 0.0, 0.0, 0.0
5001.932, 0.0, 0.0, 0.0
5001.942, 0.0, 0.0, 0.0
5001.952, 0.0, 0.0, 0.0
5001.962, 0.0, 0.0, 0.0
5001.972, 0.0, 0.0, 0.0
5001.982, 0.0, 0.0, 0.0
5001.992, 0.0, 0.0, 0.0
5002.002, 0.0, 0.0, 0.0
5002.012, 0.0, 0.0, 0.0
5002.022, 0.0, 0.0, 0.0
5002.032, 0.0, 0.0, 0.0
5002.042, 0.0, 0.0, 0.0
5002.052, 0.0, 0.0, 0.0
5002.062, 0.0, 0.0, 0.0
5002.072, 0.0, 0.0, 0.0
5002.082, 0.0, 0.0, 0.0
5002.092, 0.0, 0.0, 0.0
5002.102, 0.0, 0.0, 0.0
5002.112, 0.0, 0.0, 0.0
5002.122, 0.0, 0.0, 0.0
5002.132, 0.0, 0.0, 0.0
5002.142, 0.0, 0.0, 0.0
5002.152, 0.0, 0.0, 0.0
5002.162, 0.0, 0.0, 0.0
5002.172, 0.0, 0.0, 0.0
